compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5
X1V9,MurA,0.21839080459770116,0.21216200265919594,0.46774193548387094,CHEMBL5219036,4.8,16000.0,CHEMBL1984,E. coli,94,0.21428571428571427,0,0
BI-1,MurC,0.2345679012345679,0.2308341850608478,0.5641025641025641,CHEMBL3622702,6.2,630.0,CHEMBL2541,E. coli MurF,167,0.23170731707317074,0,0
BI-6,MurC,0.20652173913043478,0.20263897065007147,0.5769230769230769,CHEMBL6149895,5.29,5160.0,CHEMBL2541,E. coli MurF,167,0.20454545454545456,0,0
OX-11,MurC,0.29,0.27037277591140974,0.7532467532467533,CHEMBL5090659,5.0,10000.0,CHEMBL2541,E. coli MurF,167,0.2736842105263158,0,0
T2Z14,MurC,0.2413793103448276,0.22258869316213242,0.7439024390243902,CHEMBL5090659,5.0,10000.0,CHEMBL2541,E. coli MurF,167,0.22935779816513763,0,0
T2Z5,MurC,0.23469387755102042,0.22316359553530152,0.7073170731707317,CHEMBL5075801,5.0,10000.0,CHEMBL2541,E. coli MurF,167,0.22448979591836735,0,0
T2Z6,MurC,0.2604166666666667,0.2431438560980892,0.7283950617283951,CHEMBL5075801,5.0,10000.0,CHEMBL2541,E. coli MurF,167,0.25,0,0
T2Z9,MurC,0.2631578947368421,0.24003181646955718,0.7654320987654321,CHEMBL5090659,5.0,10000.0,CHEMBL2541,E. coli MurF,167,0.24074074074074073,0,0
X1V11,MurC,0.21052631578947367,0.1957327609166603,0.6025641025641025,CHEMBL199457,7.6020599913279625,25.0,CHEMBL4732,E. coli,167,0.2073170731707317,0,0
X1V19,MurC,0.2692307692307692,0.21479955994704647,0.6571428571428571,CHEMBL271836,4.11,78000.0,CHEMBL4319,S. pneumoniae MurF,167,0.20481927710843373,0,0
X1V20,MurC,0.2073170731707317,0.17914491141606884,0.647887323943662,CHEMBL271836,4.11,78000.0,CHEMBL4319,S. pneumoniae MurF,167,0.18478260869565216,0,0
X1V26,MurC,0.25316455696202533,0.20744685215181496,0.6753246753246753,CHEMBL271836,4.11,78000.0,CHEMBL4319,S. pneumoniae MurF,167,0.20930232558139536,0,0
X1V9,MurC,0.21518987341772153,0.18301155936488173,0.6338028169014085,CHEMBL271836,4.11,78000.0,CHEMBL4319,S. pneumoniae MurF,167,0.18823529411764706,0,0
BI-1,PBP2a,0.12903225806451613,0.11490588132287874,0.5416666666666666,CHEMBL4636498,7.6,25.0,CHEMBL6128,S. aureus PBP2,17,0.11702127659574468,0,0
BI-6,PBP2a,0.13402061855670103,0.12178553327921596,0.5555555555555556,CHEMBL4636498,7.6,25.0,CHEMBL6128,S. aureus PBP2,17,0.12244897959183673,0,0
OX-11,PBP2a,0.125,0.10693110018352736,0.5632183908045977,CHEMBL121924,4.82,15000.0,CHEMBL2549,S. aureus PBP4,17,0.10679611650485436,0,0
T2Z14,PBP2a,0.13157894736842105,0.1256880733944954,0.6046511627906976,CHEMBL4745239,5.55,2800.0,CHEMBL6128,S. aureus PBP2,17,0.12844036697247707,0,0
T2Z5,PBP2a,0.15384615384615385,0.14695970695970698,0.5747126436781609,CHEMBL4743698,5.7,2000.0,CHEMBL6128,S. aureus PBP2,17,0.1523809523809524,0,0
T2Z6,PBP2a,0.14285714285714285,0.1361185983827493,0.5747126436781609,CHEMBL4743698,5.7,2000.0,CHEMBL6128,S. aureus PBP2,17,0.14150943396226415,0,0
T2Z9,PBP2a,0.12844036697247707,0.11786198643797367,0.6046511627906976,CHEMBL121924,4.82,15000.0,CHEMBL2549,S. aureus PBP4,17,0.12173913043478261,0,0
X1V11,PBP2a,0.11494252873563218,0.10607498448577908,0.45454545454545453,CHEMBL4634860,5.92,1200.0,CHEMBL6128,S. aureus PBP2,17,0.10989010989010989,0,0
X1V19,PBP2a,0.10869565217391304,0.10171137835337651,0.40963855421686746,CHEMBL4776103,5.7,2000.0,CHEMBL6128,S. aureus PBP2,17,0.10638297872340426,0,0
